anio,geo,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2015,21170,5,5,,3,3,,17409,8627,8782
2015,21169,1,1,,1,1,,21465,10749,10716
2015,21166,1,1,,1,1,,8631,3959,4672
2015,21164,6,5,1,5,5,,80767,38744,42023
2015,21162,1,1,,,,,4277,2034,2243
2015,21161,1,1,,1,1,,20621,9769,10852
2015,21160,2,2,,2,2,,3285,1604,1681
2015,21157,1,1,,1,1,,11644,5506,6138
2015,21156,28,26,2,13,13,,316048,149822,166226
2015,21154,14,11,3,7,7,,77421,37479,39942
2015,21153,2,2,,,,,22065,10722,11343
2015,21151,1,1,,1,1,,8663,4150,4513
2015,21150,1,1,,1,1,,7360,3561,3799
2015,21149,2,2,,1,1,,24596,11948,12648
2015,21148,5,4,1,3,2,1,9323,4458,4865
2015,21145,1,1,,1,1,,14352,7118,7234
2015,21142,4,4,,1,1,,30314,14784,15530
2015,21140,5,5,,3,3,,131843,63311,68532
2015,21139,1,1,,1,1,,3690,1751,1939
2015,21137,1,1,,,,,9972,4883,5089
2015,21136,1,1,,1,1,,12545,6109,6436
2015,21134,2,2,,1,1,,20524,10063,10461
2015,21132,10,7,3,4,3,1,154037,74322,79715
2015,21125,1,1,,1,1,,8947,4321,4626
2015,21124,1,1,,,,,15902,7576,8326
2015,21123,1,1,,,,,4169,2054,2115
2015,21121,1,1,,1,1,,1246,614,632
2015,21120,1,1,,,,,5556,2613,2943
2015,21119,15,14,1,9,9,,133213,65597,67616
2015,21118,1,,1,,,,27703,13555,14148
2015,21117,1,1,,,,,14633,7028,7605
2015,21115,11,9,2,11,9,2,50966,24936,26030
2015,21114,145,121,24,61,56,5,1634238,783508,850730
2015,21111,3,3,,2,2,,19218,9332,9886
2015,21110,8,8,,7,7,,46312,22804,23508
2015,21108,1,1,,,,,18064,8780,9284
2015,21106,2,2,,1,1,,28200,13171,15029
2015,21104,1,1,,,,,30368,14951,15417
2015,21103,1,1,,1,1,,6376,3092,3284
2015,21100,2,2,,2,2,,10299,4922,5377
2015,21099,1,1,,1,1,,19837,9595,10242
2015,21098,1,1,,1,1,,6547,3061,3486
2015,21096,1,1,,,,,2857,1410,1447
2015,21094,3,3,,1,1,,33956,16530,17426
2015,21089,2,2,,1,1,,13496,6596,6900
2015,21088,1,,1,,,,4803,2360,2443
2015,21087,2,1,1,2,1,1,13434,6397,7037
2015,21086,3,3,,1,1,,12789,6197,6592
2015,21085,25,23,2,18,16,2,79115,37367,41748
2015,21083,1,,1,1,,1,25879,12797,13082
2015,21082,1,1,,,,,8840,4223,4617
2015,21076,2,1,1,,,,27545,13671,13874
2015,21074,9,9,,4,4,,72597,35347,37250
2015,21071,18,13,5,10,6,4,105432,50184,55248
2015,21070,1,,1,,,,6753,3060,3693
2015,21069,7,7,,2,2,,26280,12234,14046
2015,21066,1,1,,,,,6280,2899,3381
2015,21065,1,1,,,,,20587,9858,10729
2015,21064,6,4,2,3,3,,17342,8704,8638
2015,21063,6,6,,6,6,,15157,7318,7839
2015,21061,1,,1,1,,1,12939,6370,6569
2015,21060,1,,1,,,,7368,3500,3868
2015,21057,1,1,,1,1,,7933,3770,4163
2015,21054,2,2,,,,,33471,16294,17177
2015,21053,7,5,2,5,4,1,62401,30616,31785
2015,21051,8,7,1,4,3,1,35844,17222,18622
2015,21050,1,,1,1,,1,26085,12747,13338
2015,21049,3,2,1,1,,1,16561,8128,8433
2015,21048,1,1,,1,1,,20457,9732,10725
2015,21047,10,8,2,7,6,1,20638,9960,10678
2015,21045,2,2,,1,1,,47506,22798,24708
2015,21043,5,3,2,2,2,,50010,24530,25480
2015,21041,4,4,,2,2,,109067,52800,56267
2015,21040,2,1,1,,,,10134,5019,5115
2015,21039,1,1,,,,,9618,4646,4972
2015,21038,2,2,,1,1,,9756,4828,4928
2015,21036,3,2,1,2,2,,14428,6931,7497
2015,21035,2,1,1,,,,21192,10153,11039
2015,21034,4,1,3,,,,39627,19363,20264
2015,21033,2,2,,,,,5034,2403,2631
2015,21026,1,1,,,,,14828,7036,7792
2015,21025,3,2,1,2,2,,8785,4326,4459
2015,21023,2,1,1,2,1,1,9292,4568,4724
2015,21022,6,6,,4,4,,12481,5785,6696
2015,21019,23,21,2,11,11,,137711,64807,72904
