anio,ent,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2022,13,383,320,54,239,213,24,3190331,1532282,1658049
2022,12,1338,1192,128,961,877,82,3599951,1733707,1866244
2022,11,4041,3267,540,3078,2659,413,6360814,3093383,3267431
2022,10,114,90,24,59,50,9,1884286,933195,951091
2022,09,740,635,105,451,401,50,9237644,4426944,4810700
2022,08,2098,1861,234,1345,1202,141,3898274,1941481,1956793
2022,07,486,422,63,292,264,28,5862882,2866519,2996363
2022,06,799,702,97,677,599,78,752247,372310,379937
2022,05,149,129,20,42,39,3,3273658,1632411,1641247
2022,04,92,80,12,62,57,5,945445,465194,480251
2022,03,44,36,8,18,15,3,849224,433241,415983
2022,02,2712,2312,298,1726,1564,146,3948201,2000031,1948170
2022,01,83,71,12,44,41,3,1491126,730684,760442
2022,00,31532,27311,3729,21664,19421,2202,129960600,63553508,66407092
2021,00,34475,30271,3833,23973,21658,2248,128982939,63092068,65890871
2020,00,36105,31861,3903,25254,22885,2285,128209170,62764717,65444453
2019,00,35449,31424,3762,25039,22863,2126,127215666,62309982,64905684
2018,00,34563,30837,3620,24513,22394,2074,125995825,61709453,64286372
2017,00,31876,28367,3395,21801,20040,1730,124777172,61102672,63674500
2016,00,24714,21818,2826,15974,14590,1356,123587407,60507080,63080327
2015,00,20393,17978,2332,12617,11580,1009,122368490,59896137,62472353
